# Date,Receipt_Count
2022-01-01,8634110
2022-01-02,8823834
2022-01-03,8913276
2022-01-04,8864787
2022-01-05,8834477
2022-01-06,8700717
2022-01-07,8828520
2022-01-08,8681102
2022-01-09,8686562
2022-01-10,8704295
2022-01-11,8689126
2022-01-12,8704650
2022-01-13,8670213
2022-01-14,8693611
2022-01-15,8682391
2022-01-16,8679313
2022-01-17,8684002
2022-01-18,8678584
2022-01-19,8684326
2022-01-20,8678556
2022-01-21,8681148
2022-01-22,8680981
2022-01-23,8679756
2022-01-24,8681099
2022-01-25,8679721
2022-01-26,8680858
2022-01-27,8680158
2022-01-28,8680264
2022-01-29,8680487
2022-01-30,8680148
2022-01-31,8680465
2022-02-01,8680204
2022-02-02,8680360
2022-02-03,8680316
2022-02-04,8680273
2022-02-05,8680349
2022-02-06,8680273
2022-02-07,8680332
2022-02-08,8680295
2022-02-09,8680307
2022-02-10,8680315
2022-02-11,8680298
2022-02-12,8680315
2022-02-13,8680301
2022-02-14,8680309
2022-02-15,8680307
2022-02-16,8680306
2022-02-17,8680309
2022-02-18,8680305
2022-02-19,8680307
2022-02-20,8680307
2022-02-21,8680307
2022-02-22,8680307
2022-02-23,8680307
2022-02-24,8680307
2022-02-25,8680307
2022-02-26,8680307
2022-02-27,8680307
2022-02-28,8680307
2022-03-01,8680307
2022-03-02,8680307
2022-03-03,8680307
2022-03-04,8680307
2022-03-05,8680307
2022-03-06,8680307
2022-03-07,8680307
2022-03-08,8680307
2022-03-09,8680307
2022-03-10,8680307
2022-03-11,8680307
2022-03-12,8680307
2022-03-13,8680307
2022-03-14,8680307
2022-03-15,8680307
2022-03-16,8680307
2022-03-17,8680307
2022-03-18,8680307
2022-03-19,8680307
2022-03-20,8680307
2022-03-21,8680307
2022-03-22,8680307
2022-03-23,8680307
2022-03-24,8680307
2022-03-25,8680307
2022-03-26,8680307
2022-03-27,8680307
2022-03-28,8680307
2022-03-29,8680307
2022-03-30,8680307
2022-03-31,8680307
2022-04-01,8680307
2022-04-02,8680307
2022-04-03,8680307
2022-04-04,8680307
2022-04-05,8680307
2022-04-06,8680307
2022-04-07,8680307
2022-04-08,8680307
2022-04-09,8680307
2022-04-10,8680307
2022-04-11,8680307
2022-04-12,8680307
2022-04-13,8680307
2022-04-14,8680307
2022-04-15,8680307
2022-04-16,8680307
2022-04-17,8680307
2022-04-18,8680307
2022-04-19,8680307
2022-04-20,8680307
2022-04-21,8680307
2022-04-22,8680307
2022-04-23,8680307
2022-04-24,8680307
2022-04-25,8680307
2022-04-26,8680307
2022-04-27,8680307
2022-04-28,8680307
2022-04-29,8680307
2022-04-30,8680307
2022-05-01,8680307
2022-05-02,8680307
2022-05-03,8680307
2022-05-04,8680307
2022-05-05,8680307
2022-05-06,8680307
2022-05-07,8680307
2022-05-08,8680307
2022-05-09,8680307
2022-05-10,8680307
2022-05-11,8680307
2022-05-12,8680307
2022-05-13,8680307
2022-05-14,8680307
2022-05-15,8680307
2022-05-16,8680307
2022-05-17,8680307
2022-05-18,8680307
2022-05-19,8680307
2022-05-20,8680307
2022-05-21,8680307
2022-05-22,8680307
2022-05-23,8680307
2022-05-24,8680307
2022-05-25,8680307
2022-05-26,8680307
2022-05-27,8680307
2022-05-28,8680307
2022-05-29,8680307
2022-05-30,8680307
2022-05-31,8680307
2022-06-01,8680307
2022-06-02,8680307
2022-06-03,8680307
2022-06-04,8680307
2022-06-05,8680307
2022-06-06,8680307
2022-06-07,8680307
2022-06-08,8680307
2022-06-09,8680307
2022-06-10,8680307
2022-06-11,8680307
2022-06-12,8680307
2022-06-13,8680307
2022-06-14,8680307
2022-06-15,8680307
2022-06-16,8680307
2022-06-17,8680307
2022-06-18,8680307
2022-06-19,8680307
2022-06-20,8680307
2022-06-21,8680307
2022-06-22,8680307
2022-06-23,8680307
2022-06-24,8680307
2022-06-25,8680307
2022-06-26,8680307
2022-06-27,8680307
2022-06-28,8680307
2022-06-29,8680307
2022-06-30,8680307
2022-07-01,8680307
2022-07-02,8680307
2022-07-03,8680307
2022-07-04,8680307
2022-07-05,8680307
2022-07-06,8680307
2022-07-07,8680307
2022-07-08,8680307
2022-07-09,8680307
2022-07-10,8680307
2022-07-11,8680307
2022-07-12,8680307
2022-07-13,8680307
2022-07-14,8680307
2022-07-15,8680307
2022-07-16,8680307
2022-07-17,8680307
2022-07-18,8680307
2022-07-19,8680307
2022-07-20,8680307
2022-07-21,8680307
2022-07-22,8680307
2022-07-23,8680307
2022-07-24,8680307
2022-07-25,8680307
2022-07-26,8680307
2022-07-27,8680307
2022-07-28,8680307
2022-07-29,8680307
2022-07-30,8680307
2022-07-31,8680307
2022-08-01,8680307
2022-08-02,8680307
2022-08-03,8680307
2022-08-04,8680307
2022-08-05,8680307
2022-08-06,8680307
2022-08-07,8680307
2022-08-08,8680307
2022-08-09,8680307
2022-08-10,8680307
2022-08-11,8680307
2022-08-12,8680307
2022-08-13,8680307
2022-08-14,8680307
2022-08-15,8680307
2022-08-16,8680307
2022-08-17,8680307
2022-08-18,8680307
2022-08-19,8680307
2022-08-20,8680307
2022-08-21,8680307
2022-08-22,8680307
2022-08-23,8680307
2022-08-24,8680307
2022-08-25,8680307
2022-08-26,8680307
2022-08-27,8680307
2022-08-28,8680307
2022-08-29,8680307
2022-08-30,8680307
2022-08-31,8680307
2022-09-01,8680307
2022-09-02,8680307
2022-09-03,8680307
2022-09-04,8680307
2022-09-05,8680307
2022-09-06,8680307
2022-09-07,8680307
2022-09-08,8680307
2022-09-09,8680307
2022-09-10,8680307
2022-09-11,8680307
2022-09-12,8680307
